treatment,segment,group,VOLT_FLAG,SCORE,cleaned_comment,date_converted,month,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE
control,Non-VOLT,Non-VOLT_control,,10,good package,2023-03-01,3,10.0,8.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,good customer service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,far good charlie efficient helpful let hope continues confident,2023-03-01,3,,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,great communication,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,chris amazing contacted put details online,2023-03-01,3,,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,9,,2023-03-01,3,7.0,10.0,9.0,10.0,8.0
control,VOLT,VOLT_control,yes,3,price bundle went days placed order,2023-03-01,3,6.0,6.0,4.0,6.0,6.0
control,VOLT,VOLT_control,yes,9,simple straightforward process lot information things remember phone,2023-03-01,3,,,10.0,10.0,9.0
control,Non-VOLT,Non-VOLT_control,,10,amazing service job completed,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,Non-VOLT,Non-VOLT_control,,10,goo service,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,6.0,10.0,10.0,5.0
control,Non-VOLT,Non-VOLT_control,,10,guy spoke helpful give fantastic deal looking forward receiving box downfall waiting time two weeks sure worth wait,2023-03-01,3,5.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,9,,2023-03-01,3,8.0,7.0,10.0,10.0,5.0
control,VOLT,VOLT_control,yes,10,work done far done high standard phone agent people came house professional polite would definitely recommend,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,10,great service tony,2023-03-01,3,10.0,10.0,10.0,10.0,10.0
control,VOLT,VOLT_control,yes,0,two days,2023-03-01,3,0.0,0.0,0.0,0.0,0.0
control,VOLT,VOLT_control,yes,10,spoke several company people first contact steph took extreme care explain options available conversation lasted hour many thanks steph following spoke three people became clear husband penalty fee leaving put invidious position pensioners able proceed spoke ine managed somehow procure part bt's despicable fee finally allowed ahead many thanks therefore people helped,2023-03-01,3,10.0,5.0,10.0,10.0,10.0
